ID,STATE_CODE,CITY,LAT,LONG,POP
4058543,AL,Deatsville,32.60819,-86.39581,1157
4058553,AL,Decatur,34.60593,-86.98334,55437
4058595,AL,Deer Park,31.21684,-88.31723,188
4058643,AL,Delta,33.44011,-85.69052,197
4058662,AL,Demopolis,32.51764,-87.8364,7148
4058738,AL,Detroit,34.02816,-88.17004,227
4058904,AL,Dixonville,31.00046,-87.03608,181
4058971,AL,Dodge City,34.04066,-86.88583,603
4059070,AL,Dora,33.72872,-87.09028,1960
4059102,AL,Dothan,31.22323,-85.39049,68567
4059162,AL,Double Springs,34.14637,-87.40247,1056
4059172,AL,Douglas,34.17371,-86.32359,758
4059229,AL,Dozier,31.49211,-86.36496,332
4059584,AL,Dunnavant,33.49344,-86.54415,981
4059701,AL,Dutton,34.61092,-85.91692,310
4059831,AL,East Brewton,31.09323,-87.06275,2419
4059870,AL,East Florence,34.80953,-87.64947,35733
4059956,AL,East Point,34.18315,-86.79361,201
4060176,AL,Eclectic,32.63541,-86.03441,1029
4060232,AL,Edgewater,33.52677,-86.95777,883
4060298,AL,Edwardsville,33.70733,-85.50912,204
4060299,AL,Edwardsville,34.03954,-85.92691,194
4060324,AL,Egypt,34.07371,-86.15581,932
4060381,AL,Elberta,30.41436,-87.59776,1652
4060398,AL,Eldridge,33.92288,-87.61724,128
4060461,AL,Elkmont,34.92897,-86.9739,466
4060625,AL,Emelle,32.7293,-88.31448,50
4060791,AL,Enterprise,31.31517,-85.85522,27978
4060819,AL,Epes,32.69041,-88.12613,183
4060927,AL,Ethelsville,33.41567,-88.2167,73
4060954,AL,Eufaula,31.89127,-85.14549,12596
4060971,AL,Eunola,31.0399,-85.84744,243
4060991,AL,Eutaw,32.84059,-87.88762,2766
4060998,AL,Eva,34.33232,-86.75889,511
4061064,AL,Evergreen,31.4335,-86.95692,3774
4061113,AL,Excel,31.42794,-87.34137,672
4061206,AL,Fairfield,33.48594,-86.91194,10907
4061231,AL,Fairford,31.16823,-88.06417,186
4061234,AL,Fairhope,30.52297,-87.90333,18730
